,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
2011-10,ABEV3,AEDU3,ALLL3,AMIL3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BPAN4,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CNFB4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,ENEV3,EVEN3,FFTL4,FIBR3,GETI4,GFSA3,GGBR3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB3,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MMXM3,MRFG3,MRVE3,MULT3,NATU3,ODPV3,OGXP3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,PMAM3,POMO4,POSI3,PRIO3,PRML3,PSSA3,RAPT4,RDCD3,RENT3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TAMM4,TESA3,TIMP3,TNLP3,TNLP4,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,WEGE3,
2011-11,ABEV3,AEDU3,ALLL3,AMIL3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BPAN4,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CNFB4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENBR3,ENEV3,EVEN3,FFTL4,FIBR3,GETI4,GFSA3,GGBR3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB3,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MMXM3,MRFG3,MRVE3,MULT3,NATU3,ODPV3,OGXP3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,PMAM3,POMO4,POSI3,PRIO3,PRML3,PSSA3,RAPT4,RDCD3,RENT3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TAMM4,TESA3,TIMP3,TNLP3,TNLP4,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,WEGE3,
2011-12,ABEV3,AEDU3,ALLL3,AMIL3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,EVEN3,EZTC3,FIBR3,GETI4,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MMXM3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,POMO4,POSI3,PRIO3,PRML3,PSSA3,RADL3,RAPT4,RDCD3,RENT3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TAMM4,TCSA3,TESA3,TIMP3,TNLP3,TNLP4,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,WEGE3,
2012-01,ABEV3,AEDU3,ALLL3,AMIL3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,EVEN3,EZTC3,FIBR3,GETI4,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MMXM3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,POMO4,POSI3,PRIO3,PRML3,PSSA3,RADL3,RAPT4,RDCD3,RENT3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TAMM4,TCSA3,TESA3,TIMP3,TNLP3,TNLP4,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,WEGE3,
2012-02,ABEV3,AEDU3,ALLL3,AMIL3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,EVEN3,EZTC3,FIBR3,GETI4,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MMXM3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,POMO4,POSI3,PRIO3,PRML3,PSSA3,RADL3,RAPT4,RDCD3,RENT3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TAMM4,TCSA3,TESA3,TIMP3,TNLP3,TNLP4,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,WEGE3,
2012-03,ABEV3,AEDU3,ALLL3,AMIL3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,EVEN3,EZTC3,FIBR3,GETI4,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MMXM3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR3,OIBR4,PCAR4,PDGR3,PETR3,PETR4,POMO4,POSI3,PRIO3,PRML3,PSSA3,RADL3,RAPT4,RDCD3,RENT3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TAMM4,TCSA3,TESA3,TIMP3,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,WEGE3,,
2012-04,ABEV3,AEDU3,ALLL3,AMIL3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,EVEN3,EZTC3,FIBR3,GETI4,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MGLU3,MMXM3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR3,OIBR4,OSXB3,PCAR4,PDGR3,PETR3,PETR4,POMO4,PRIO3,PRML3,PSSA3,RADL3,RAPT4,RDCD3,RENT3,RPMG3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TAMM4,TCSA3,TESA3,TIMP3,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,
2012-05,ABEV3,AEDU3,ALLL3,AMIL3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,EVEN3,EZTC3,FIBR3,GETI4,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MGLU3,MMXM3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR3,OIBR4,OSXB3,PCAR4,PDGR3,PETR3,PETR4,POMO4,PRIO3,PRML3,PSSA3,RADL3,RAPT4,RDCD3,RENT3,RPMG3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TAMM4,TCSA3,TESA3,TIMP3,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,
2012-06,ABEV3,AEDU3,ALLL3,AMIL3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,EVEN3,EZTC3,FIBR3,GETI4,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MGLU3,MMXM3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR3,OIBR4,OSXB3,PCAR4,PDGR3,PETR3,PETR4,POMO4,PRIO3,PRML3,PSSA3,RADL3,RAPT4,RDCD3,RENT3,RPMG3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TCSA3,TESA3,TIMP3,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,
2012-07,ABEV3,AEDU3,ALLL3,AMIL3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,EVEN3,EZTC3,FIBR3,GETI4,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MGLU3,MMXM3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR3,OIBR4,OSXB3,PCAR4,PDGR3,PETR3,PETR4,POMO4,PRIO3,PRML3,PSSA3,RADL3,RAPT4,RDCD3,RENT3,RPMG3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TCSA3,TESA3,TIMP3,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,
2012-08,ABEV3,AEDU3,ALLL3,AMBV3,AMIL3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,EVEN3,EZTC3,FIBR3,GETI4,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MGLU3,MMXM3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR3,OIBR4,OSXB3,PCAR4,PDGR3,PETR3,PETR4,POMO4,PRIO3,PRML3,PSSA3,RADL3,RAPT4,RDCD3,RENT3,RPMG3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TCSA3,TESA3,TIMP3,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,
2012-09,ABEV3,AEDU3,ALLL3,AMBV3,AMIL3,ARTR3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,EVEN3,EZTC3,FIBR3,GETI4,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MGLU3,MMXM3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR3,OIBR4,OSXB3,PCAR4,PDGR3,PETR3,PETR4,POMO4,PRIO3,PRML3,PSSA3,RADL3,RAPT4,RENT3,RPMG3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TCSA3,TESA3,TIMP3,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,
2012-10,ABEV3,AEDU3,ALLL3,AMBV3,AMIL3,ARTR3,B3SA3,BBAS3,BBDC3,BBDC4,BBRK3,BISA3,BRAP4,BRFS3,BRKM5,BRML3,BRPR3,BRSR6,BTOW3,CCRO3,CESP6,CIEL3,CMIG4,CPFE3,CPLE6,CRUZ3,CSAN3,CSMG3,CSNA3,CTIP3,CYRE3,DASA3,DTEX3,ECOR3,EGIE3,ELET3,ELET6,ELPL4,EMBR3,ENAT3,ENBR3,ENEV3,EVEN3,EZTC3,FIBR3,GETI4,GFSA3,GGBR4,GOAU4,GOLL4,HGTX3,HYPE3,IGTA3,ITSA4,ITUB4,JBSS3,KLBN4,LAME4,LIGT3,LREN3,MGLU3,MMXM3,MPLU3,MRFG3,MRVE3,MULT3,MYPK3,NATU3,ODPV3,OGXP3,OIBR3,OIBR4,OSXB3,PCAR4,PDGR3,PETR3,PETR4,POMO4,PRIO3,PRML3,PSSA3,RADL3,RAPT4,RENT3,RSID3,SANB11,SBSP3,SULA11,SUZB5,TCSA3,TESA3,TIMP3,TOTS3,TRPL4,UGPA3,USIM3,USIM5,VALE3,VALE5,VIVT4,
